ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1700306	1.89e-12	7.47e-15	10.265635	23.542448	1.54890909	557948025	OCIAD2	OCIA domain containing 2
ILMN_1684158	3.17e-08	6.26e-10	7.346571	12.419014	1.53573401	806638841	GPT2	glutamic--pyruvic transaminase 2
ILMN_1748093	8.99e-13	3.12e-15	10.498557	24.399739	1.52409091	225543095	PAFAH1B3	platelet activating factor acetylhydrolase 1b catalytic subunit 3
ILMN_1678842	1.94e-07	5.28e-09	6.804703	10.329422	1.51396296	538918410	THBS2	thrombospondin 2
ILMN_2103107	3.99e-06	1.76e-07	5.903436	6.904643	1.48599327	223718684	ADAMDEC1	ADAM like decysin 1
ILMN_1718552	9.13e-07	3.13e-08	6.349376	8.587925	1.47441751	194733765	CXCL13	C-X-C motif chemokine ligand 13
ILMN_1741133	3.93e-12	1.81e-14	10.031649	22.675208	1.46655556	38045912	NME1	NME/NM23 nucleoside diphosphate kinase 1
ILMN_2060413	1.26e-08	2.12e-10	7.621414	13.481904	1.4423165	619329004	CD24	CD24 molecule
ILMN_1711566	1.58e-08	2.75e-10	7.554972	13.224901	1.43853872	73858576	TIMP1	TIMP metallopeptidase inhibitor 1
ILMN_1805410	6.70e-05	4.87e-06	5.020147	3.67712	1.43845455	392841197	C15orf48	chromosome 15 open reading frame 48
ILMN_1712082	3.26e-05	2.11e-06	5.246367	4.486615	1.37834007	226423848	GCNT3	glucosaminyl (N-acetyl) transferase 3, mucin type
ILMN_1659027	2.01e-07	5.53e-09	6.793234	10.28535	1.36923906	166795298	SLC2A1	solute carrier family 2 member 1
ILMN_1670158	3.16e-06	1.34e-07	5.974873	7.172398	1.36357576	568384766	FAM83A	family with sequence similarity 83 member A
ILMN_2366192	6.68e-03	1.08e-03	3.433149	-1.485034	1.35609428	42544201	FGL1	fibrinogen like 1
ILMN_1674386	3.18e-05	2.05e-06	5.254522	4.516045	1.35511785	152963643	PITX1	paired like homeodomain 1
ILMN_1801939	9.99e-08	2.42e-09	7.00387	11.095977	1.35014141	332205979	CCNB2	cyclin B2
ILMN_1766405	3.04e-14	5.70e-17	11.585866	28.316026	1.34627946	260064066	GOLM1	golgi membrane protein 1
ILMN_1692938	7.01e-09	1.10e-10	7.788202	14.127002	1.33290572	526479839	PSAT1	phosphoserine aminotransferase 1
ILMN_1796316	3.48e-05	2.27e-06	5.226659	4.41556	1.32376094	74272286	MMP9	matrix metallopeptidase 9
ILMN_2212909	1.93e-07	5.24e-09	6.8066	10.33671	1.31126263	375493529	MELK	maternal embryonic leucine zipper kinase
ILMN_1746085	1.06e-07	2.60e-09	6.98551	11.025224	1.30707407	62243247	IGFBP3	insulin like growth factor binding protein 3
ILMN_2108735	7.63e-04	8.55e-05	4.213171	0.920813	1.30400673	385251394	EEF1A2	eukaryotic translation elongation factor 1 alpha 2
ILMN_2355831	2.39e-07	6.81e-09	6.740045	10.081088	1.30117508	42403574	FHL2	four and a half LIM domains 2
ILMN_1728298	1.05e-07	2.57e-09	6.988017	11.034884	1.29135354	67906173	SBK1	SH3 domain binding kinase 1
ILMN_1729117	2.22e-06	8.86e-08	6.081316	7.572807	1.27909091	89363016	COL5A2	collagen type V alpha 2 chain
ILMN_1758623	5.27e-09	8.07e-11	7.866166	14.428453	1.26972054	342837700	HIST1H2BD	histone cluster 1, H2bd
ILMN_1725485	1.85e-08	3.34e-10	7.506124	13.035965	1.26948148	56790938	RGS17	regulator of G-protein signaling 17
ILMN_2285996	4.90e-08	1.05e-09	7.215979	11.914403	1.26094949	568599838	KIAA0101	KIAA0101
ILMN_1699695	2.19e-09	2.92e-11	8.12464	15.426986	1.25274411	523425719	TNFRSF21	TNF receptor superfamily member 21
ILMN_1815184	1.33e-08	2.27e-10	7.60337	13.412107	1.24955219	194248058	ASPM	abnormal spindle microtubule assembly
ILMN_1704294	7.84e-07	2.62e-08	6.395696	8.764199	1.2377138	953953833	CDH3	cadherin 3
ILMN_1782704	2.87e-05	1.82e-06	5.286927	4.633155	1.23672391	296010919	CD19	CD19 molecule
ILMN_1683450	1.01e-07	2.47e-09	6.998369	11.074777	1.23532323	188497628	CDCA5	cell division cycle associated 5
ILMN_1668411	4.04e-07	1.24e-08	6.588048	9.498527	1.23226263	42403584	FHL2	four and a half LIM domains 2
ILMN_2117508	5.08e-09	7.74e-11	7.87689	14.469912	1.22484848	368711290	CTHRC1	collagen triple helix repeat containing 1
ILMN_1677814	5.43e-04	5.71e-05	4.330755	1.307644	1.21693939	NA		
ILMN_1774287	4.31e-05	2.91e-06	5.160633	4.178229	1.21418182	189181756	CFB	complement factor B
ILMN_1734878	1.10e-03	1.31e-04	4.086402	0.510245	1.2110101	90193587	CD79A	CD79a molecule
ILMN_2396875	1.37e-07	3.52e-09	6.908163	10.727339	1.20693266	62243247	IGFBP3	insulin like growth factor binding protein 3
ILMN_2269256	3.30e-04	3.15e-05	4.500934	1.877155	1.20498316	41406092	DNAJC12	DnaJ heat shock protein family (Hsp40) member C12
ILMN_1801216	2.38e-02	4.98e-03	2.915721	-2.897794	1.19859259	45827727	S100P	S100 calcium binding protein P
ILMN_1678841	4.59e-05	3.13e-06	5.140899	4.107517	1.19484512	222352095	UBD	ubiquitin D
ILMN_1680874	7.00e-03	1.15e-03	3.414608	-1.538414	1.18161279	214829951	TUBB2B	tubulin beta 2B class IIb
ILMN_1714433	5.21e-11	4.01e-13	9.222803	19.635092	1.1760101	392841221	MARCKSL1	MARCKS like 1
ILMN_1779875	1.65e-05	9.50e-07	5.460042	5.26301	1.17241414	902967469	THY1	Thy-1 cell surface antigen
ILMN_2161330	1.51e-06	5.62e-08	6.199097	8.017714	1.1679899	356582510	SPDEF	SAM pointed domain containing ETS transcription factor
ILMN_1726720	7.69e-07	2.56e-08	6.401842	8.787606	1.15066667	341865557	NUSAP1	nucleolar and spindle associated protein 1
ILMN_1769388	2.07e-06	8.13e-08	6.103529	7.65657	1.14384512	195539329	GJB2	gap junction protein beta 2
ILMN_1692223	9.31e-03	1.62e-03	3.301689	-1.859266	1.1433165	930697465	LCN2	lipocalin 2
ILMN_1769129	5.82e-05	4.13e-06	5.065587	3.838613	1.14282155	22165424	CCL19	C-C motif chemokine ligand 19
ILMN_1655595	5.42e-05	3.80e-06	5.088042	3.918628	1.14004377	211904150	SERPINE2	serpin family E member 2
ILMN_1670238	1.88e-07	5.09e-09	6.814299	10.366299	1.12616162	523498708	CDC45	cell division cycle 45
ILMN_1772286	3.57e-11	2.56e-13	9.339223	20.07636	1.12575421	557948033	OCIAD2	OCIA domain containing 2
ILMN_1776516	2.10e-04	1.86e-05	4.650452	2.386345	1.11912458	331284123	ITPKA	inositol-trisphosphate 3-kinase A
ILMN_1677636	7.14e-05	5.24e-06	5.000597	3.607822	1.11317172	40217842	COMP	cartilage oligomeric matrix protein
ILMN_1721818	9.42e-04	1.10e-04	4.138898	0.679428	1.10984848	231569108	CLDN10	claudin 10
ILMN_1782389	4.22e-06	1.88e-07	5.886703	6.842042	1.10756229	32455232	LAD1	ladinin 1
ILMN_2042771	1.42e-06	5.19e-08	6.219677	8.095641	1.10054209	538260590	PTTG1	pituitary tumor-transforming 1
ILMN_1713952	3.63e-09	5.30e-11	7.973083	14.841688	1.09455892	340745327	C1orf106	chromosome 1 open reading frame 106
ILMN_1711470	8.03e-09	1.30e-10	7.746008	13.963823	1.09185859	209969667	UBE2T	ubiquitin conjugating enzyme E2 T
ILMN_1789507	7.51e-05	5.59e-06	4.982895	3.545168	1.08385859	98985809	COL11A1	collagen type XI alpha 1 chain
ILMN_2387471	2.82e-07	8.21e-09	6.692276	9.897809	1.07745791	NA		
ILMN_1694268	2.38e-04	2.15e-05	4.608861	2.243913	1.06619192	539847511	HES6	hes family bHLH transcription factor 6
ILMN_2065773	6.32e-06	3.07e-07	5.757903	6.361766	1.06173737	1044873365	SCG5	secretogranin V
ILMN_1672776	2.79e-07	8.09e-09	6.696179	9.912778	1.06035354	98985802	COL10A1	collagen type X alpha 1 chain
ILMN_2311020	3.01e-04	2.84e-05	4.530411	1.976909	1.05640404	41406093	DNAJC12	DnaJ heat shock protein family (Hsp40) member C12
ILMN_1659888	2.24e-11	1.50e-13	9.478636	20.603243	1.05475084	62122941	PPP1R14B	protein phosphatase 1 regulatory inhibitor subunit 14B
ILMN_1705814	4.68e-05	3.20e-06	5.13483	4.085789	1.05426936	125628635	KRT80	keratin 80
ILMN_2311537	1.15e-05	6.21e-07	5.57279	5.676816	1.0460303	208431749	HMGA1	high mobility group AT-hook 1
ILMN_2392546	1.27e-08	2.14e-10	7.618313	13.469911	1.04579125	119220555	PAICS	phosphoribosylaminoimidazole carboxylase; phosphoribosylaminoimidazolesuccinocarboxamide synthase
ILMN_1651496	1.82e-07	4.93e-09	6.822407	10.397464	1.04551178	342837700	HIST1H2BD	histone cluster 1, H2bd
ILMN_1680955	5.37e-06	2.54e-07	5.8079	6.547855	1.04436027	1020158973	AURKA	aurora kinase A
ILMN_1657347	3.82e-07	1.16e-08	6.60344	9.557437	1.04430303	409971416	PODXL2	podocalyxin like 2
ILMN_1787345	3.08e-06	1.29e-07	5.983708	7.205569	1.04234343	219842215	FKBP11	FK506 binding protein 11
ILMN_2415583	2.10e-06	8.28e-08	6.099047	7.639663	1.03269697	116295255	HS6ST2	heparan sulfate 6-O-sulfotransferase 2
ILMN_1711227	9.23e-08	2.21e-09	7.026248	11.182234	1.02579461	359718931	GMDS	GDP-mannose 4,6-dehydratase
ILMN_1703955	9.53e-07	3.30e-08	6.335926	8.536785	1.02370707	335057518	FBXO32	F-box protein 32
ILMN_1807074	7.79e-13	2.67e-15	10.540078	24.551913	1.02229966	4505184	MIF	macrophage migration inhibitory factor (glycosylation-inhibiting factor)
ILMN_1753584	3.59e-05	2.35e-06	5.217373	4.382113	1.01864646	196162709	KRT8	keratin 8
ILMN_2193233	8.57e-03	1.47e-03	3.33452	-1.766738	1.017633	117938313	MZB1	marginal zone B and B1 cell specific protein
ILMN_1691290	1.14e-06	4.08e-08	6.281481	8.329976	1.0143367	145309303	CELSR3	cadherin EGF LAG seven-pass G-type receptor 3
ILMN_1723042	6.69e-06	3.31e-07	5.738343	6.289085	1.01360943	171541813	CLDN3	claudin 3
ILMN_1700147	1.16e-04	9.22e-06	4.845311	3.061366	1.01311448	206597510	VPREB3	pre-B lymphocyte 3
ILMN_2319424	1.74e-08	3.09e-10	7.525762	13.111922	1.00859259	119964689	GYG2	glycogenin 2
ILMN_1664516	3.88e-06	1.70e-07	5.912245	6.937616	1.00748485	55770833	CENPF	centromere protein F
ILMN_1806037	1.26e-07	3.16e-09	6.935292	10.831786	0.99691246	164698437	TK1	thymidine kinase 1
ILMN_1728934	1.51e-05	8.49e-07	5.489694	5.371573	0.99521212	389886541	PRC1	protein regulator of cytokinesis 1
ILMN_1691071	1.63e-04	1.36e-05	4.736601	2.683243	0.99279461	42544162	FCRLA	Fc receptor like A
ILMN_1810423	2.70e-09	3.75e-11	8.060932	15.181029	0.9923367	554790307	RPP40	ribonuclease P/MRP subunit p40
ILMN_2357438	6.47e-06	3.16e-07	5.750025	6.332482	0.99157576	1020158973	AURKA	aurora kinase A
ILMN_1813704	4.54e-04	4.62e-05	4.391933	1.5111	0.98476768	648215830	CEMIP	cell migration inducing hyaluronan binding protein
ILMN_1725276	1.25e-04	1.01e-05	4.820739	2.97557	0.98389562	359279899	FDCSP	follicular dendritic cell secreted protein
ILMN_2206722	3.78e-07	1.15e-08	6.607088	9.571399	0.98302357	NA		
ILMN_2075189	2.79e-09	3.92e-11	8.049788	15.137993	0.9800404	223890241	SLC35F2	solute carrier family 35 member F2
ILMN_1744963	1.03e-07	2.52e-09	6.993111	11.054512	0.97684848	744066854	ERO1A	endoplasmic reticulum oxidoreductase 1 alpha
ILMN_2376205	6.19e-05	4.44e-06	5.04585	3.768396	0.97514815	4505034	LTB	lymphotoxin beta
ILMN_1773760	4.33e-08	8.98e-10	7.25511	12.065561	0.97119529	119220555	PAICS	phosphoribosylaminoimidazole carboxylase; phosphoribosylaminoimidazolesuccinocarboxamide synthase
ILMN_1743402	5.66e-06	2.70e-07	5.791723	6.487595	0.96961953	295789122	SIX4	SIX homeobox 4
ILMN_1661264	2.97e-08	5.83e-10	7.364632	12.488833	0.96792593	261862340	SHMT2	serine hydroxymethyltransferase 2
ILMN_1722820	5.36e-08	1.17e-09	7.188403	11.807909	0.96705387	522838275	KDELR3	KDEL endoplasmic reticulum protein retention receptor 3
ILMN_2249018	3.80e-04	3.72e-05	4.453901	1.718657	0.95901347	149363643	LRRC26	leucine rich repeat containing 26
ILMN_2302757	1.31e-02	2.44e-03	3.16454	-2.238876	0.947367	154146261	FCGBP	Fc fragment of IgG binding protein
ILMN_1806040	1.06e-05	5.69e-07	5.59573	5.761333	0.94232323	186972144	TYMS	thymidylate synthetase
ILMN_1814151	9.20e-05	7.06e-06	4.918987	3.319735	0.94098316	219521822	AGR2	anterior gradient 2, protein disulphide isomerase family member
ILMN_1751753	4.68e-09	7.06e-11	7.900375	14.560697	0.93974074	588282795	IDH2	isocitrate dehydrogenase (NADP(+)) 2, mitochondrial
ILMN_1737205	4.41e-07	1.37e-08	6.561972	9.398778	0.93694276	325651967	MCM4	minichromosome maintenance complex component 4
ILMN_1766650	1.99e-03	2.61e-04	3.879893	-0.143254	0.93611111	385298683	FOXA1	forkhead box A1
ILMN_1794659	4.98e-06	2.31e-07	5.832451	6.639395	0.93443098	171906617	FUT2	fucosyltransferase 2
ILMN_1745356	2.18e-02	4.46e-03	2.954899	-2.796679	0.9336734	692314725	CXCL9	C-X-C motif chemokine ligand 9
ILMN_2132599	6.99e-06	3.49e-07	5.724552	6.237881	0.92989899	154091031	ANKRD22	ankyrin repeat domain 22
ILMN_2111932	1.94e-07	5.31e-09	6.803359	10.324256	0.92550168	312261211	SERINC2	serine incorporator 2
ILMN_2222234	4.92e-09	7.44e-11	7.886764	14.508083	0.92441751	5453548	PRDX4	peroxiredoxin 4
ILMN_2110252	1.72e-10	1.69e-12	8.85196	18.222391	0.92341077	215490019	NPM3	nucleophosmin/nucleoplasmin 3
ILMN_1779147	1.53e-07	4.01e-09	6.874671	10.598456	0.92272727	375156566	ENC1	ectodermal-neural cortex 1
ILMN_2104106	3.51e-07	1.05e-08	6.62924	9.656224	0.92079461	208609980	XPR1	xenotropic and polytropic retrovirus receptor 1
ILMN_1753449	4.76e-04	4.89e-05	4.375687	1.456928	0.92056229	19882250	CST1	cystatin SN
ILMN_2220187	8.73e-11	7.37e-13	9.065738	19.038028	0.92054882	347659026	GFPT1	glutamine--fructose-6-phosphate transaminase 1
ILMN_1659437	2.67e-08	5.13e-10	7.397184	12.61468	0.92042761	153791420	TXNDC17	thioredoxin domain containing 17
ILMN_2131293	2.94e-06	1.23e-07	5.997326	7.256721	0.91958923	305632776	ALG1L	ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase like
ILMN_1735093	2.21e-06	8.80e-08	6.08327	7.58017	0.91612458	222136584	TIMELESS	timeless circadian clock
ILMN_1656057	7.83e-04	8.82e-05	4.204198	0.891527	0.91338047	984290527	PLAU	plasminogen activator, urokinase
ILMN_1770612	1.12e-03	1.34e-04	4.080268	0.490556	0.9093771	216548460	KRT15	keratin 15
ILMN_2143427	3.92e-04	3.87e-05	4.442838	1.681494	0.90549495	221307484	LGSN	lengsin, lens protein with glutamine synthetase domain
ILMN_1739726	1.97e-04	1.71e-05	4.672873	2.463376	0.90354209	291463281	JSRP1	junctional sarcoplasmic reticulum protein 1
ILMN_2144426	1.31e-05	7.25e-07	5.531785	5.526009	0.89942424	21328454	HIST2H2AA3	histone cluster 2, H2aa3
ILMN_1699665	1.51e-02	2.88e-03	3.106818	-2.395223	0.89941414	948549899	CLIC6	chloride intracellular channel 6
ILMN_1771599	1.99e-04	1.74e-05	4.669414	2.451478	0.89684848	62739164	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2
ILMN_1695658	3.89e-06	1.71e-07	5.910818	6.932274	0.89614478	195539383	KIF20A	kinesin family member 20A
ILMN_2338038	2.28e-05	1.39e-06	5.358338	4.892128	0.89529966	298566319	AK4	adenylate kinase 4
ILMN_1715583	2.82e-07	8.22e-09	6.691898	9.896359	0.89446128	733606096	BOP1	block of proliferation 1
ILMN_2041222	3.18e-05	2.05e-06	5.254858	4.517259	0.88637037	NA		
ILMN_1680403	9.95e-08	2.40e-09	7.005269	11.101368	0.88440404	325301073	SSR4	signal sequence receptor subunit 4
ILMN_1808999	2.81e-06	1.16e-07	6.010709	7.307017	0.88322896	1046359110	ARHGEF19	Rho guanine nucleotide exchange factor 19
ILMN_2366212	8.01e-04	9.06e-05	4.196256	0.865635	0.8790303	1041215441	CD79B	CD79b molecule
ILMN_1684217	6.69e-07	2.18e-08	6.442431	8.942284	0.87674411	378786659	AURKB	aurora kinase B
ILMN_2308903	8.68e-05	6.62e-06	4.936572	3.381646	0.87421212	NA		
ILMN_2083066	7.25e-04	8.07e-05	4.230077	0.976084	0.87345118	NA		
ILMN_1790461	1.47e-08	2.53e-10	7.575993	13.306212	0.87301347	409104120	UQCC2	ubiquinol-cytochrome c reductase complex assembly factor 2
ILMN_1802252	2.00e-08	3.71e-10	7.479401	12.932612	0.87121886	576583510	GAPDH	glyceraldehyde-3-phosphate dehydrogenase
ILMN_2101526	1.32e-08	2.26e-10	7.605564	13.420596	0.87092929	315360615	GGCT	gamma-glutamylcyclotransferase
ILMN_1747016	5.04e-07	1.59e-08	6.522715	9.248717	0.8703468	187608536	CEP55	centrosomal protein 55
ILMN_1706505	2.30e-04	2.07e-05	4.619738	2.281104	0.86645791	495528155	COL5A1	collagen type V alpha 1 chain
ILMN_1753143	1.36e-03	1.69e-04	4.011425	0.270724	0.8653569	228008332	RHPN2	rhophilin Rho GTPase binding protein 2
ILMN_1691364	1.33e-04	1.08e-05	4.801031	2.906893	0.86339057	189458858	STAT1	signal transducer and activator of transcription 1
ILMN_1792168	4.47e-08	9.32e-10	7.245799	12.029592	0.85905387	56237022	GALE	UDP-galactose-4-epimerase
ILMN_2302716	1.45e-12	5.45e-15	10.349384	23.851395	0.85878114	62912455	ALDH18A1	aldehyde dehydrogenase 18 family member A1
ILMN_1815745	2.91e-08	5.67e-10	7.371872	12.516821	0.85711785	30179901	SOX4	SRY-box 4
ILMN_1719660	9.11e-10	1.11e-11	8.371608	16.379097	0.85705387	752992909	SMPDL3B	sphingomyelin phosphodiesterase acid like 3B
ILMN_1777233	8.16e-06	4.19e-07	5.676196	6.058625	0.85620539	315075284	E2F2	E2F transcription factor 2
ILMN_1724293	2.36e-08	4.46e-10	7.432689	12.751968	0.85609091	154736711	KDELR2	KDEL endoplasmic reticulum protein retention receptor 2
ILMN_1803213	1.30e-04	1.05e-05	4.809065	2.934872	0.85531987	201860266	MXRA5	matrix remodeling associated 5
ILMN_1716265	1.57e-11	9.62e-14	9.593547	21.036211	0.85473737	751247066	PGM2L1	phosphoglucomutase 2 like 1
ILMN_1672589	2.48e-05	1.53e-06	5.332364	4.797792	0.85316835	155029562	SEMA4B	semaphorin 4B
ILMN_1732516	2.73e-08	5.26e-10	7.390918	12.590455	0.85296296	156071508	KNTC1	kinetochore associated 1
ILMN_1760160	9.21e-08	2.19e-09	7.028348	11.190331	0.85242088	260166656	STX1A	syntaxin 1A
ILMN_2325506	2.09e-08	3.90e-10	7.466706	12.883516	0.85111785	574584576	BCAS4	breast carcinoma amplified sequence 4
ILMN_1798804	2.78e-10	2.88e-12	8.715401	17.699734	0.85060269	300795014	SRPK1	SRSF protein kinase 1
ILMN_1719316	1.86e-09	2.43e-11	8.170912	15.605548	0.84793266	667751585	TMED3	transmembrane p24 trafficking protein 3
ILMN_1748283	6.36e-04	6.90e-05	4.275788	1.126114	0.84477441	209862740	PIM2	Pim-2 proto-oncogene, serine/threonine kinase
ILMN_1730777	2.41e-04	2.19e-05	4.604098	2.22764	0.84357576	131412244	KRT19	keratin 19
ILMN_1720282	1.16e-02	2.11e-03	3.212493	-2.107437	0.84268687	70995356	NQO1	NAD(P)H quinone dehydrogenase 1
ILMN_1666109	1.48e-04	1.23e-05	4.766162	2.785688	0.84139057	44955876	MB	myoglobin
ILMN_1670959	4.35e-03	6.52e-04	3.596377	-1.006898	0.84088889	817472180	CEACAM5	carcinoembryonic antigen related cell adhesion molecule 5
ILMN_2371079	5.35e-05	3.74e-06	5.092178	3.933381	0.83820875	258645161	HTR3A	5-hydroxytryptamine receptor 3A
ILMN_1691048	2.58e-04	2.37e-05	4.582083	2.152526	0.83394949	724382923	SLC22A18AS	solute carrier family 22 member 18 antisense
ILMN_1713561	1.31e-05	7.23e-07	5.532269	5.527787	0.83286532	315570277	LAMP5	lysosomal associated membrane protein family member 5
ILMN_2183510	2.35e-09	3.19e-11	8.101646	15.338229	0.83174747	618857508	MANF	mesencephalic astrocyte derived neurotrophic factor
ILMN_1806603	2.58e-06	1.06e-07	6.035891	7.401727	0.83118519	219842275	MESP1	mesoderm posterior bHLH transcription factor 1
ILMN_1729288	8.00e-07	2.69e-08	6.388581	8.737107	0.83032997	32967293	C1QTNF6	C1q and tumor necrosis factor related protein 6
ILMN_1715927	2.53e-03	3.48e-04	3.792315	-0.414335	0.83011448	149588714	VSTM2L	V-set and transmembrane domain containing 2 like
ILMN_1749213	1.86e-08	3.41e-10	7.501017	13.016215	0.82954545	56243532	SDF2L1	stromal cell derived factor 2 like 1
ILMN_1747911	5.11e-05	3.54e-06	5.107429	3.987821	0.82944444	281427276	CDK1	cyclin dependent kinase 1
ILMN_1750181	5.97e-02	1.53e-02	2.496596	-3.913777	0.82808081	269996001	TESC	tescalcin
ILMN_2038778	3.65e-08	7.36e-10	7.305456	12.2601	0.82781145	576583510	GAPDH	glyceraldehyde-3-phosphate dehydrogenase
ILMN_1751444	3.32e-06	1.42e-07	5.959915	7.116269	0.82768687	402167319	NCAPG	non-SMC condensin I complex subunit G
ILMN_1775522	3.41e-09	4.94e-11	7.990895	14.910508	0.82669697	52632380	MAGED1	MAGE family member D1
ILMN_1713901	9.42e-05	7.24e-06	4.911768	3.294346	0.8260303	522838276	KDELR3	KDEL endoplasmic reticulum protein retention receptor 3
ILMN_1686871	9.09e-12	4.94e-14	9.767919	21.690842	0.82491582	156523967	PARP1	poly(ADP-ribose) polymerase 1
ILMN_2413650	3.10e-07	9.17e-09	6.664048	9.789587	0.82419192	115298660	STIL	SCL/TAL1 interrupting locus
ILMN_1680757	2.01e-03	2.64e-04	3.876634	-0.153409	0.81816162	NA		
ILMN_1673991	8.82e-10	1.06e-11	8.382255	16.420084	0.81511785	258613988	ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase
ILMN_2133205	7.47e-02	2.03e-02	2.384316	-4.164485	0.81491919	375163496	GPX2	glutathione peroxidase 2
ILMN_1759184	2.27e-07	6.41e-09	6.755623	10.14089	0.81471717	588480504	C19orf48	chromosome 19 open reading frame 48
ILMN_2160929	1.29e-06	4.65e-08	6.248037	8.203112	0.81149495	332078486	FEN1	flap structure-specific endonuclease 1
ILMN_2349459	4.97e-06	2.30e-07	5.833462	6.643169	0.81052525	59859877	BIRC5	baculoviral IAP repeat containing 5
ILMN_2101034	6.85e-04	7.53e-05	4.250291	1.042322	0.80957912	731441389	CAPN12	calpain 12
ILMN_1815666	5.48e-06	2.60e-07	5.801532	6.524129	0.80951178	161377445	ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2
ILMN_1805737	2.19e-04	1.96e-05	4.635502	2.335079	0.80810774	334191699	PFKP	phosphofructokinase, platelet
ILMN_2108357	8.42e-05	6.39e-06	4.946353	3.416121	0.80797306	16579829	RPL39L	ribosomal protein L39 like
ILMN_2371964	7.95e-08	1.86e-09	7.070716	11.353713	0.80719865	16950590	MRPS12	mitochondrial ribosomal protein S12
ILMN_1758311	7.78e-07	2.59e-08	6.398636	8.775397	0.80616162	396080288	NET1	neuroepithelial cell transforming 1
ILMN_1671337	8.39e-06	4.33e-07	5.66746	6.026289	0.80492593	207446701	SLC2A5	solute carrier family 2 member 5
ILMN_2231928	4.30e-05	2.90e-06	5.161037	4.179678	0.80422896	11342663	MX2	MX dynamin like GTPase 2
ILMN_2374425	4.39e-04	4.44e-05	4.403361	1.549265	0.80343098	1016080570	CCNE1	cyclin E1
ILMN_1795190	9.43e-03	1.64e-03	3.296794	-1.873008	0.80302694	283806626	CLDN2	claudin 2
ILMN_1773119	1.25e-07	3.14e-09	6.93739	10.839865	0.80223906	118572587	CCNF	cyclin F
ILMN_1720373	6.89e-03	1.13e-03	3.4208	-1.520608	0.80170034	71979931	SLC7A5	solute carrier family 7 member 5
ILMN_1725139	8.41e-04	9.62e-05	4.178772	0.808726	0.80119529	169636419	CA9	carbonic anhydrase 9
ILMN_1655307	1.86e-10	1.84e-12	8.830376	18.139865	0.79819192	189491674	FAM136A	family with sequence similarity 136 member A
ILMN_1803824	7.79e-04	8.77e-05	4.205671	0.896334	0.79752525	297206866	ZDHHC9	zinc finger DHHC-type containing 9
ILMN_2412139	5.66e-06	2.70e-07	5.791198	6.485643	0.79690909	523425731	CABYR	calcium binding tyrosine phosphorylation regulated
