ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
209803_s_at	1.31e-17	3.63e-19	10.916695	32.9453373	2.0084628	PHLDA2	pleckstrin homology like domain family A member 2
201852_x_at	3.55e-16	1.23e-17	10.246318	29.4487309	1.9532708	COL3A1	collagen type III alpha 1 chain
205941_s_at	7.30e-23	9.48e-25	13.402304	45.726616	1.9511167	COL10A1	collagen type X alpha 1 chain
203953_s_at	7.17e-16	2.62e-17	10.102173	28.6966746	1.9082695	CLDN3	claudin 3
215108_x_at	4.02e-16	1.41e-17	10.220048	29.3116575	1.8848929	TOX3	TOX high mobility group box family member 3
202575_at	3.78e-15	1.56e-16	9.762618	26.9263851	1.8751964	CRABP2	cellular retinoic acid binding protein 2
204268_at	1.01e-08	1.23e-09	6.649688	11.2198491	1.8739864	S100A2	S100 calcium binding protein A2
209529_at	1.95e-25	1.63e-27	14.673802	52.0566601	1.8724534	PLPP2	phospholipid phosphatase 2
211161_s_at	1.71e-16	5.63e-18	10.394486	30.2218823	1.8537126	COL3A1	collagen type III alpha 1 chain
220057_at	1.00e-10	8.47e-12	7.656018	16.125644	1.8456463	XAGE1B///XAGE1E	X antigen family member 1B///X antigen family member 1E
203256_at	2.55e-17	7.47e-19	10.779204	32.2287244	1.8402256	CDH3	cadherin 3
217771_at	3.50e-25	3.02e-27	14.549144	51.4438845	1.8314141	GOLM1	golgi membrane protein 1
209035_at	1.80e-23	2.19e-25	13.692424	47.1859847	1.8202872	MDK	midkine (neurite growth-promoting factor 2)
204320_at	1.38e-16	4.49e-18	10.437614	30.446922	1.8164796	COL11A1	collagen type XI alpha 1 chain
204734_at	1.37e-09	1.43e-10	7.090447	13.3379634	1.8155117	KRT15	keratin 15
202404_s_at	1.60e-15	6.21e-17	9.937788	27.8393363	1.7928975	COL1A2	collagen type I alpha 2 chain
201014_s_at	3.10e-20	5.93e-22	12.147166	39.3249297	1.7743489	PAICS	phosphoribosylaminoimidazole carboxylase; phosphoribosylaminoimidazolesuccinocarboxamide synthase
201577_at	2.40e-29	1.13e-31	16.660793	61.5718779	1.7477134	NME1	NME/NM23 nucleoside diphosphate kinase 1
202620_s_at	6.81e-19	1.55e-20	11.519512	36.0800325	1.7378328	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2
215076_s_at	1.99e-15	7.84e-17	9.893287	27.6073335	1.7205381	COL3A1	collagen type III alpha 1 chain
203819_s_at	5.84e-11	4.80e-12	7.768451	16.6877034	1.7042932	IGF2BP3	insulin like growth factor 2 mRNA binding protein 3
201890_at	1.15e-18	2.65e-20	11.416913	35.5475516	1.6944745	RRM2	ribonucleotide reductase regulatory subunit M2
202503_s_at	5.04e-20	9.79e-22	12.050433	38.8264135	1.6848442	KIAA0101	KIAA0101
202870_s_at	1.52e-18	3.56e-20	11.360263	35.2533336	1.6743382	CDC20	cell division cycle 20
212143_s_at	1.99e-17	5.73e-19	10.829832	32.4926486	1.6706524	IGFBP3	insulin like growth factor binding protein 3
201013_s_at	1.72e-25	1.42e-27	14.702156	52.1957916	1.6691041	PAICS	phosphoribosylaminoimidazole carboxylase; phosphoribosylaminoimidazolesuccinocarboxamide synthase
219787_s_at	4.59e-18	1.17e-19	11.133013	34.0717566	1.6643268	ECT2	epithelial cell transforming 2
221577_x_at	2.14e-10	1.92e-11	7.493307	15.3165732	1.6617343	GDF15	growth differentiation factor 15
210095_s_at	1.41e-16	4.60e-18	10.43299	30.4227944	1.6536102	IGFBP3	insulin like growth factor binding protein 3
200606_at	5.05e-11	4.10e-12	7.799317	16.842415	1.6496139	DSP	desmoplakin
205542_at	3.02e-14	1.47e-15	9.334634	24.7004964	1.5995191	STEAP1	six transmembrane epithelial antigen of the prostate 1
218039_at	3.92e-18	9.83e-20	11.166095	34.2438886	1.5922944	NUSAP1	nucleolar and spindle associated protein 1
204026_s_at	1.32e-18	3.07e-20	11.388708	35.4010876	1.5749932	ZWINT	ZW10 interacting kinetochore protein
217294_s_at	2.97e-20	5.67e-22	12.15561	39.3684164	1.5683407	ENO1	enolase 1
214777_at	3.23e-07	5.21e-08	5.853122	7.5458358	1.5659097	IGKC	immunoglobulin kappa constant
216491_x_at	9.52e-09	1.15e-09	6.663016	11.2830962	1.5615165	IGHM	immunoglobulin heavy constant mu
211644_x_at	1.42e-08	1.78e-09	6.572626	10.8551942	1.560328	IGK///IGKC	immunoglobulin kappa locus///immunoglobulin kappa constant
210519_s_at	2.43e-11	1.87e-12	7.953278	17.616588	1.5594665	NQO1	NAD(P)H quinone dehydrogenase 1
211571_s_at	1.56e-11	1.16e-12	8.047234	18.0909662	1.5539865	VCAN	versican
212344_at	7.97e-21	1.40e-22	12.426984	40.7632612	1.5504	SULF1	sulfatase 1
203820_s_at	3.36e-10	3.12e-11	7.396633	14.8384439	1.548893	IGF2BP3	insulin like growth factor 2 mRNA binding protein 3
221730_at	1.48e-11	1.09e-12	8.059331	18.1521486	1.5437218	COL5A2	collagen type V alpha 2 chain
218542_at	2.68e-19	5.68e-21	11.711951	37.0773538	1.5409787	CEP55	centrosomal protein 55
211645_x_at	1.61e-07	2.47e-08	6.015529	8.2766165	1.5409319		
204675_at	3.62e-17	1.08e-18	10.70872	31.8612013	1.5351907	SRD5A1	steroid 5 alpha-reductase 1
216510_x_at	4.68e-09	5.38e-10	6.820005	12.0319866	1.5232385	IGHV3-23///IGHV4-31///IGHM///IGHG1///IGHA1	immunoglobulin heavy variable 3-23///immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant alpha 1
204641_at	7.34e-16	2.68e-17	10.097361	28.6715712	1.5153654	NEK2	NIMA related kinase 2
209773_s_at	4.69e-18	1.20e-19	11.128238	34.046909	1.499171	RRM2	ribonucleotide reductase regulatory subunit M2
218883_s_at	9.02e-18	2.46e-19	10.991301	33.3339873	1.4947553	CENPU	centromere protein U
204285_s_at	1.21e-11	8.77e-13	8.101929	18.3677608	1.4924347	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1
266_s_at	2.96e-12	1.93e-13	8.396735	19.8670919	1.4910793	CD24	CD24 molecule
219918_s_at	4.02e-16	1.40e-17	10.220896	29.3160866	1.4829959	ASPM	abnormal spindle microtubule assembly
202589_at	6.39e-18	1.68e-19	11.063941	33.71224	1.4826129	TYMS	thymidylate synthetase
212992_at	3.37e-09	3.79e-10	6.891771	12.3766509	1.4816072	AHNAK2	AHNAK nucleoprotein 2
218313_s_at	3.59e-19	7.81e-21	11.65095	36.7614292	1.4814073	GALNT7	polypeptide N-acetylgalactosaminyltransferase 7
216379_x_at	4.40e-12	2.96e-13	8.313106	19.4405633	1.4780872	CD24	CD24 molecule
209173_at	2.26e-09	2.46e-10	6.979935	12.8019725	1.4733652	AGR2	anterior gradient 2, protein disulphide isomerase family member
214710_s_at	3.14e-18	7.77e-20	11.211055	34.4777589	1.4712782	CCNB1	cyclin B1
205479_s_at	9.31e-15	4.09e-16	9.578464	25.9676516	1.4637283	PLAU	plasminogen activator, urokinase
218002_s_at	2.49e-06	4.77e-07	5.35812	5.3851315	1.460853	CXCL14	C-X-C motif chemokine ligand 14
211668_s_at	1.53e-13	8.18e-15	9.005794	22.9971476	1.4545476	PLAU	plasminogen activator, urokinase
216576_x_at	9.14e-08	1.33e-08	6.147847	8.8793351	1.4493843	IGK///IGKC	immunoglobulin kappa locus///immunoglobulin kappa constant
215646_s_at	1.46e-11	1.07e-12	8.06226	18.1669629	1.4483353	VCAN	versican
202949_s_at	1.75e-17	4.98e-19	10.856368	32.6309635	1.4432364	FHL2	four and a half LIM domains 2
218960_at	1.21e-13	6.38e-15	9.053296	23.2427268	1.4419624	TMPRSS4	transmembrane protease, serine 4
211634_x_at	1.02e-08	1.24e-09	6.648313	11.2133281	1.4381303	IGHM	immunoglobulin heavy constant mu
203878_s_at	1.47e-15	5.65e-17	9.955576	27.9320828	1.4285394	MMP11	matrix metallopeptidase 11
209641_s_at	4.57e-19	1.01e-20	11.601359	36.5044468	1.4251515	ABCC3	ATP binding cassette subfamily C member 3
201037_at	1.75e-17	4.98e-19	10.856321	32.6307166	1.42358	PFKP	phosphofructokinase, platelet
200700_s_at	4.97e-28	2.88e-30	15.97778	58.3561041	1.4222702	KDELR2	KDEL endoplasmic reticulum protein retention receptor 2
204540_at	4.24e-07	7.00e-08	5.788276	7.2569288	1.4218126	EEF1A2	eukaryotic translation elongation factor 1 alpha 2
203755_at	9.15e-15	4.01e-16	9.582397	25.9881115	1.4208583	BUB1B	BUB1 mitotic checkpoint serine/threonine kinase B
203362_s_at	6.12e-16	2.21e-17	10.134024	28.8628341	1.4207424	MAD2L1	MAD2 mitotic arrest deficient-like 1 (yeast)
221729_at	9.51e-14	4.95e-15	9.10219	23.4956842	1.4195945	COL5A2	collagen type V alpha 2 chain
214768_x_at	1.01e-07	1.48e-08	6.125305	8.7762027	1.418214	IGKC	immunoglobulin kappa constant
205890_s_at	1.26e-09	1.29e-10	7.110711	13.4365762	1.4160003	UBD///GABBR1	ubiquitin D///gamma-aminobutyric acid type B receptor subunit 1
214290_s_at	7.16e-13	4.27e-14	8.688195	21.3602045	1.4108356	HIST2H2AA4///HIST2H2AA3	histone cluster 2, H2aa4///histone cluster 2, H2aa3
218009_s_at	3.47e-13	1.96e-14	8.837867	22.1304847	1.4104372	PRC1	protein regulator of cytokinesis 1
206023_at	2.53e-09	2.78e-10	6.954916	12.681068	1.4058588	NMU	neuromedin U
203936_s_at	2.11e-13	1.15e-14	8.939909	22.6568323	1.4050808	MMP9	matrix metallopeptidase 9
209771_x_at	5.73e-12	3.92e-13	8.2586	19.1630684	1.4035711	CD24	CD24 molecule
201830_s_at	5.31e-16	1.90e-17	10.163316	29.0156579	1.4003799	NET1	neuroepithelial cell transforming 1
220196_at	2.72e-09	3.02e-10	6.938625	12.6024265	1.3942581	MUC16	mucin 16, cell surface associated
201467_s_at	7.70e-11	6.42e-12	7.711058	16.4005003	1.3919858	NQO1	NAD(P)H quinone dehydrogenase 1
217755_at	1.97e-20	3.66e-22	12.240375	39.8046769	1.3883213	HN1	hematological and neurological expressed 1
204017_at	1.28e-20	2.31e-22	12.329576	40.2632113	1.3860715	KDELR3	KDEL endoplasmic reticulum protein retention receptor 3
210559_s_at	1.99e-16	6.60e-18	10.364351	30.0646357	1.3801085	CDK1	cyclin dependent kinase 1
201416_at	2.86e-19	6.16e-21	11.696435	36.9970185	1.3685686	SOX4	SRY-box 4
209278_s_at	3.81e-05	9.21e-06	4.65524	2.5149159	1.367576	TFPI2	tissue factor pathway inhibitor 2
217871_s_at	1.04e-27	6.51e-30	15.807386	57.5447102	1.366434	MIF	macrophage migration inhibitory factor (glycosylation-inhibiting factor)
220393_at	2.20e-10	1.98e-11	7.487064	15.2856366	1.3655209	LGSN	lengsin, lens protein with glutamine synthetase domain
204825_at	5.31e-17	1.64e-18	10.62911	31.4459896	1.363641	MELK	maternal embryonic leucine zipper kinase
219010_at	4.64e-21	7.89e-23	12.537522	41.3298398	1.3572121	C1orf106	chromosome 1 open reading frame 106
211762_s_at	2.11e-20	3.93e-22	12.226405	39.7328107	1.354263	KPNA2	karyopherin subunit alpha 2
215176_x_at	5.41e-07	9.09e-08	5.730502	7.00096	1.3521481	IGK///IGKC	immunoglobulin kappa locus///immunoglobulin kappa constant
201417_at	3.81e-21	6.30e-23	12.581142	41.5531545	1.3518135	SOX4	SRY-box 4
201650_at	1.61e-11	1.20e-12	8.039901	18.0538949	1.3498342	KRT19	keratin 19
209008_x_at	7.69e-16	2.83e-17	10.087469	28.6199661	1.3425777	KRT8	keratin 8
201689_s_at	6.30e-15	2.70e-16	9.657779	26.3804249	1.3421624	TPD52	tumor protein D52
207828_s_at	1.56e-17	4.39e-19	10.880395	32.7561817	1.3416688	CENPF	centromere protein F
202722_s_at	3.92e-22	5.71e-24	13.049531	43.9411049	1.3410439	GFPT1	glutamine--fructose-6-phosphate transaminase 1
217109_at	6.61e-06	1.37e-06	5.113421	4.35767	1.3401421	MUC4	mucin 4, cell surface associated
211643_x_at	2.57e-08	3.39e-09	6.438097	10.22301	1.3394966	IGK///IGKC	immunoglobulin kappa locus///immunoglobulin kappa constant
203889_at	4.71e-11	3.81e-12	7.813661	16.9143673	1.3388544	SCG5	secretogranin V
218976_at	4.00e-11	3.18e-12	7.849168	17.0926358	1.3384725	DNAJC12	DnaJ heat shock protein family (Hsp40) member C12
205713_s_at	3.24e-10	3.00e-11	7.404361	14.8765874	1.3370194	COMP	cartilage oligomeric matrix protein
211798_x_at	3.81e-09	4.34e-10	6.864155	12.2438544	1.3362748	IGLJ3	immunoglobulin lambda joining 3
214581_x_at	5.47e-15	2.32e-16	9.68684	26.5317271	1.3341993	TNFRSF21	TNF receptor superfamily member 21
202856_s_at	9.11e-16	3.38e-17	10.05332	28.4418394	1.3324906	MIR6787///SLC16A3	microRNA 6787///solute carrier family 16 member 3
202619_s_at	2.07e-12	1.32e-13	8.469619	20.2395391	1.3253143	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2
218856_at	2.07e-19	4.35e-21	11.763252	37.3428878	1.3229159	TNFRSF21	TNF receptor superfamily member 21
215214_at	1.72e-06	3.19e-07	5.449356	5.7753812	1.322473	IGLC1	immunoglobulin lambda constant 1
210809_s_at	8.40e-12	5.90e-13	8.179156	18.7593411	1.3202869	POSTN	periostin
201563_at	5.13e-17	1.58e-18	10.636716	31.4856631	1.3202322	SORD	sorbitol dehydrogenase
211635_x_at	7.62e-09	9.09e-10	6.712104	11.5164988	1.313983	IGHV4-31///IGHM///IGHG4///IGHG3///IGHG1///IGHD///IGHA2///IGHA1	immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 4 (G4m marker)///immunoglobulin heavy constant gamma 3 (G3m marker)///immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant delta///immunoglobulin heavy constant alpha 2 (A2m marker)///immunoglobulin heavy constant alpha 1
203764_at	4.70e-14	2.33e-15	9.246163	24.2415187	1.3117875	DLGAP5	DLG associated protein 5
219936_s_at	5.49e-08	7.70e-09	6.264887	9.417696	1.3110007	GPR87	G protein-coupled receptor 87
209955_s_at	6.64e-19	1.50e-20	11.525651	36.111882	1.3084066	FAP	fibroblast activation protein alpha
211637_x_at	8.17e-08	1.18e-08	6.173766	8.9981402	1.3031259	IGHV3-23///IGHV4-31///IGHM///IGHG4///IGHG3///IGHG1///IGHD///IGHA2///IGHA1///IGH	immunoglobulin heavy variable 3-23///immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 4 (G4m marker)///immunoglobulin heavy constant gamma 3 (G3m marker)///immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant delta///immunoglobulin heavy constant alpha 2 (A2m marker)///immunoglobulin heavy constant alpha 1///immunoglobulin heavy locus
217901_at	6.48e-16	2.35e-17	10.122761	28.8040776	1.3020796	DSG2	desmoglein 2
208651_x_at	1.46e-11	1.08e-12	8.06196	18.1654424	1.3011396	CD24	CD24 molecule
218280_x_at	3.10e-12	2.03e-13	8.386672	19.8157226	1.2956167	HIST2H2AA4///HIST2H2AA3	histone cluster 2, H2aa4///histone cluster 2, H2aa3
201666_at	4.57e-18	1.16e-19	11.134443	34.0791942	1.2950697	TIMP1	TIMP metallopeptidase inhibitor 1
209911_x_at	1.78e-16	5.88e-18	10.386249	30.1788995	1.2938033	HIST1H2BD	histone cluster 1, H2bd
203476_at	2.78e-21	4.56e-23	12.644185	41.8756424	1.2906121	TPBG	trophoblast glycoprotein
216557_x_at	3.84e-09	4.37e-10	6.862817	12.2374253	1.2861042	IGHV4-31///IGHM///IGHG3///IGHG1///IGHD///IGHA1	immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 3 (G3m marker)///immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant delta///immunoglobulin heavy constant alpha 1
209921_at	2.18e-08	2.85e-09	6.474626	10.3941001	1.2844556	SLC7A11	solute carrier family 7 member 11
202095_s_at	1.23e-15	4.67e-17	9.991707	28.1204973	1.2811825	BIRC5	baculoviral IAP repeat containing 5
206074_s_at	1.68e-20	3.09e-22	12.27323	39.9736324	1.2787829	HMGA1	high mobility group AT-hook 1
AFFX-HUMGAPDH/M33197_5_at	9.68e-20	1.97e-21	11.915414	38.1295623	1.2704797	GAPDH	glyceraldehyde-3-phosphate dehydrogenase
204259_at	1.55e-06	2.85e-07	5.475538	5.8880642	1.2688205	MMP7	matrix metallopeptidase 7
219148_at	8.72e-10	8.75e-11	7.189662	13.8217553	1.2675008	PBK	PDZ binding kinase
209396_s_at	2.14e-08	2.79e-09	6.479319	10.4161149	1.2642621	CHI3L1	chitinase 3 like 1
216401_x_at	1.22e-07	1.83e-08	6.080279	8.570758	1.2640984	MLIP	muscular LMNA-interacting protein
222036_s_at	2.03e-17	5.84e-19	10.826224	32.4738421	1.263551	MCM4	minichromosome maintenance complex component 4
217378_x_at	8.95e-08	1.30e-08	6.152935	8.9026406	1.2626254	IGKV1OR2-108	immunoglobulin kappa variable 1/OR2-108 (non-functional)
201923_at	9.53e-22	1.50e-23	12.86107	42.982554	1.2599612	PRDX4	peroxiredoxin 4
213668_s_at	1.29e-16	4.20e-18	10.450573	30.5145418	1.2597994	SOX4	SRY-box 4
219888_at	6.42e-20	1.26e-21	12.001044	38.5716457	1.2576122	SPAG4	sperm associated antigen 4
216560_x_at	3.16e-08	4.23e-09	6.391432	10.0050677	1.2575057	IGLC1	immunoglobulin lambda constant 1
217148_x_at	1.17e-07	1.74e-08	6.091003	8.619625	1.2494498	IGLJ3///IGLV@///IGLC1	immunoglobulin lambda joining 3///immunoglobulin lambda variable cluster///immunoglobulin lambda constant 1
202954_at	1.83e-14	8.45e-16	9.440042	25.2479268	1.2481403	UBE2C	ubiquitin conjugating enzyme E2 C
214612_x_at	3.85e-04	1.12e-04	4.008973	0.1178056	1.2455404	MAGEA6	MAGE family member A6
211650_x_at	1.37e-09	1.43e-10	7.090909	13.3402113	1.2432758	IGHV3-23///IGHV4-31///IGHM///IGHG3///IGHG1///IGHD///IGHA1///IGH	immunoglobulin heavy variable 3-23///immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 3 (G3m marker)///immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant delta///immunoglobulin heavy constant alpha 1///immunoglobulin heavy locus
201468_s_at	3.49e-10	3.26e-11	7.387845	14.7950789	1.2430799	NQO1	NAD(P)H quinone dehydrogenase 1
205267_at	2.14e-07	3.35e-08	5.949388	7.9777822	1.2423983	POU2AF1	POU class 2 associating factor 1
210145_at	4.00e-07	6.56e-08	5.802482	7.3200791	1.2399817	PLA2G4A	phospholipase A2 group IVA
218930_s_at	4.08e-17	1.23e-18	10.683966	31.7321054	1.2392195	TMEM106B	transmembrane protein 106B
203213_at	7.03e-15	3.03e-16	9.635824	26.2661413	1.2374424	CDK1	cyclin dependent kinase 1
211881_x_at	6.10e-09	7.16e-10	6.761304	11.751136	1.2349103	IGLJ3	immunoglobulin lambda joining 3
218326_s_at	2.79e-15	1.12e-16	9.824636	27.2495183	1.2285386	LGR4	leucine rich repeat containing G protein-coupled receptor 4
212680_x_at	7.41e-24	7.88e-26	13.894975	48.1997804	1.2275596	PPP1R14B	protein phosphatase 1 regulatory inhibitor subunit 14B
213506_at	9.53e-13	5.77e-14	8.629956	21.0610937	1.2243194	F2RL1	F2R like trypsin receptor 1
212489_at	8.27e-11	6.94e-12	7.695513	16.3228106	1.2173908	COL5A1	collagen type V alpha 1 chain
208051_s_at	1.94e-18	4.62e-20	11.310304	34.9937522	1.2167934	PAIP1	poly(A) binding protein interacting protein 1
201688_s_at	9.71e-14	5.06e-15	9.097745	23.472678	1.213403	TPD52	tumor protein D52
209714_s_at	1.10e-15	4.16e-17	10.013719	28.2352935	1.210943	CDKN3	cyclin dependent kinase inhibitor 3
213432_at	1.30e-04	3.46e-05	4.320791	1.2429221	1.2107665	MUC5B	mucin 5B, oligomeric mucus/gel-forming
209064_x_at	8.59e-20	1.73e-21	11.940251	38.2578403	1.2077126	PAIP1	poly(A) binding protein interacting protein 1
209395_at	1.25e-07	1.87e-08	6.075155	8.5474251	1.2048841	CHI3L1	chitinase 3 like 1
217480_x_at	1.50e-08	1.89e-09	6.560099	10.7960881	1.2035433	IGKV1OR2-118	immunoglobulin kappa variable 1/OR2-118 (pseudogene)
217281_x_at	5.61e-09	6.54e-10	6.779894	11.8399744	1.2014913	LOC102725526///IGHV4-31///IGHM///IGHG3///IGHG2///IGHG1///IGHA2///IGHA1///IGH	uncharacterized LOC102725526///immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 3 (G3m marker)///immunoglobulin heavy constant gamma 2 (G2m marker)///immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant alpha 2 (A2m marker)///immunoglobulin heavy constant alpha 1///immunoglobulin heavy locus
201761_at	1.71e-13	9.26e-15	8.98197	22.8740507	1.1996575	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase
206102_at	2.18e-15	8.67e-17	9.8742	27.5078387	1.1972827	GINS1	GINS complex subunit 1
209631_s_at	8.91e-10	8.96e-11	7.184921	13.7985856	1.1968788	SEL1L2///GPR37	SEL1L2 ERAD E3 ligase adaptor subunit///G protein-coupled receptor 37
205549_at	3.31e-06	6.50e-07	5.287057	5.083819	1.1947449	PCP4	Purkinje cell protein 4
202923_s_at	3.26e-08	4.38e-09	6.384318	9.9719058	1.1895981	GCLC	glutamate-cysteine ligase catalytic subunit
217110_s_at	9.02e-06	1.93e-06	5.033516	4.0284664	1.1876103	MUC4	mucin 4, cell surface associated
212531_at	3.00e-05	7.09e-06	4.71973	2.7675227	1.1854553	LCN2	lipocalin 2
208161_s_at	4.28e-16	1.51e-17	10.207234	29.2447974	1.1787268	ABCC3	ATP binding cassette subfamily C member 3
201088_at	1.73e-18	4.10e-20	11.333225	35.1128633	1.1786616	KPNA2	karyopherin subunit alpha 2
202855_s_at	2.40e-13	1.33e-14	8.912947	22.5176695	1.1747246	MIR6787///SLC16A3	microRNA 6787///solute carrier family 16 member 3
211048_s_at	4.76e-21	8.11e-23	12.532174	41.3024494	1.1727925	PDIA4	protein disulfide isomerase family A member 4
204620_s_at	1.25e-10	1.08e-11	7.608036	15.8865071	1.1696811	VCAN	versican
221731_x_at	3.95e-11	3.15e-12	7.851441	17.1040578	1.164899	VCAN	versican
206632_s_at	4.36e-10	4.17e-11	7.338463	14.5517177	1.1631154	APOBEC3B	apolipoprotein B mRNA editing enzyme catalytic subunit 3B
201131_s_at	2.43e-17	7.10e-19	10.789003	32.2798128	1.1619631	CDH1	cadherin 1
204286_s_at	1.36e-09	1.41e-10	7.093559	13.3531015	1.1618431	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1
209109_s_at	1.45e-15	5.59e-17	9.957812	27.9437425	1.1594071	TSPAN6	tetraspanin 6
204348_s_at	1.11e-14	4.95e-16	9.541987	25.7779038	1.1586076	LOC100507855///AK4	adenylate kinase 4, mitochondrial-like///adenylate kinase 4
202342_s_at	1.64e-11	1.23e-12	8.036092	18.034639	1.1520722	TRIM2	tripartite motif containing 2
204822_at	5.00e-12	3.39e-13	8.286797	19.3065726	1.1516244	TTK	TTK protein kinase
211430_s_at	5.11e-09	5.92e-10	6.800416	11.9381591	1.1507478	MIR8071-2///MIR8071-1///IGHV4-31///IGHM///IGHG2///IGHG1	microRNA 8071-2///microRNA 8071-1///immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 2 (G2m marker)///immunoglobulin heavy constant gamma 1 (G1m marker)
217258_x_at	1.48e-07	2.24e-08	6.036122	8.3699994	1.1504578	IGLV1-44	immunoglobulin lambda variable 1-44
203214_x_at	9.44e-16	3.51e-17	10.046175	28.4045694	1.1502274	CDK1	cyclin dependent kinase 1
209374_s_at	1.56e-04	4.22e-05	4.26931	1.0530005	1.1459704	IGHM	immunoglobulin heavy constant mu
209942_x_at	5.25e-04	1.57e-04	3.916522	-0.2038533	1.1428546	MAGEA6///MAGEA3	MAGE family member A6///MAGE family member A3
208079_s_at	1.54e-13	8.27e-15	9.003562	22.9856136	1.1416056	AURKA	aurora kinase A
201897_s_at	2.79e-16	9.52e-18	10.294688	29.7011289	1.1390595	CKS1B	CDC28 protein kinase regulatory subunit 1B
201839_s_at	5.79e-18	1.50e-19	11.085466	33.8242942	1.1345113	EPCAM	epithelial cell adhesion molecule
217744_s_at	1.02e-11	7.30e-13	8.137675	18.5489025	1.132389	PERP	PERP, TP53 apoptosis effector
203954_x_at	2.08e-14	9.72e-16	9.413331	25.1091494	1.1316637	CLDN3	claudin 3
212488_at	4.67e-10	4.50e-11	7.323553	14.4783466	1.1315426	COL5A1	collagen type V alpha 1 chain
